Feature,Raw (Site Covariate) RMSE,Raw (Site Covariate) MSLL,Raw (Site Covariate) R2,Harmonized (GLM) RMSE,Harmonized (GLM) MSLL,Harmonized (GLM) R2,RMSE_Diff,MSLL_Diff,R2_Diff
left_putamen,0.0005012217790110906,-6.17971855305404,0.7388201432896937,0.00048418947897023245,-6.211462170467009,0.20624477481046177,-1.7032300040858148e-05,-0.03174361741296927,-0.5325753684792319
left_cerebellum_white_matter,0.0018388020323754505,-4.87198590987657,0.7496198176435644,0.0017836346186953379,-4.90912013088083,-0.008341788716791365,-5.516741368011258e-05,-0.037134221004260226,-0.7579616063603558
left_thalamus,0.0009056570704899329,-5.588503426521375,0.4138934992802963,0.0008958157051705,-5.595920615576927,0.24954697026898187,-9.841365319432924e-06,-0.007417189055551887,-0.1643465290113144
left_inferior_lateral_ventricle,0.0015975948580544425,-5.015379342127852,0.5191265019422007,0.0015045676690336005,-5.07932314105148,0.04885147828851777,-9.302718902084203e-05,-0.06394379892362867,-0.4702750236536829
left_pallidum,0.00039145526673908636,-6.422054137293646,0.1706546317474883,0.0004244300940942191,-6.344608412953451,0.045801015645454135,3.297482735513277e-05,0.07744572434019492,-0.12485361610203416
left_lateral_ventricle,0.00546200817225533,-3.7919460872171182,0.21252130818283632,0.005967514005282717,-3.690808303430734,0.22926632039019534,0.0005055058330273874,0.10113778378638427,0.016745012207359022
left_cerebral_cortex,0.006202283655101442,-3.6634809813365194,0.970114303914314,0.006135715988993891,-3.673372747973642,0.1621066248691423,-6.656766610755108e-05,-0.009891766637122767,-0.8080076790451717
3rd_ventricle,0.00034306688974828405,-6.559042603689134,0.22198671288649074,0.0003737914470729796,-6.471892844378256,0.06565871706213056,3.072455732469555e-05,0.08714975931087832,-0.1563279958243602
left_caudate,0.00045161720187675226,-6.281168007613171,0.4842694504923163,0.0004974073687631223,-6.183754930911251,0.2900411355126483,4.5790166886370046e-05,0.0974130767019199,-0.19422831497966797
left_cerebellum_cortex,0.0023119412603996212,-4.643555191643832,0.6234240311598116,0.0025795020284553757,-4.537680575963474,0.10104053806883628,0.00026756076805575443,0.10587461568035739,-0.5223834930909753
4th_ventricle,0.00036478090398344993,-6.497182800632359,0.06658620444033958,,,,,,
